University,City,Status,Established,Rector
MARDIN ARTUKLU UNIVERSITY,MARDİN,STATE,2007,PROF.DR. İBRAHİM ÖZCOŞAR
MARMARA UNIVERSITY,İSTANBUL,STATE,1982,PROF.DR. MUSTAFA KURT
MEF UNIVERSITY,İSTANBUL,FOUNDATION,2012,PROF.DR. MUHAMMED ŞAHİN
MERSIN UNIVERSITY,MERSİN,STATE,1992,PROF.DR. AHMET ÇAMSARI
MIMAR SINAN FINE ARTS UNIVERSITY,İSTANBUL,STATE,1982,PROF.DR. HANDAN İNCİ ELÇİ
MUDANYA UNIVERSITY,BURSA,FOUNDATION,2022,PROF.DR. HASAN TOSUN
MUGLA SITKI KOCMAN UNIVERSITY,MUĞLA,STATE,1992,
MUNZUR UNIVERSITY,TUNCELİ,STATE,2008,PROF.DR. UBEYDE İPEK
MUS ALPARSLAN UNIVERSITY,MUŞ,STATE,2007,PROF.DR. FETHİ AHMET POLAT
NECMETTIN ERBAKAN UNIVERSITY,KONYA,STATE,2012,PROF.DR. CEM ZORLU
NEVSEHIR HACI BEKTAS VELI UNIVERSITY,NEVŞEHİR,STATE,2007,PROF.DR. SEMİH AKTEKİN
NIGDE OMER HALISDEMIR UNIVERSITY,NİĞDE,STATE,1992,PROF.DR. HASAN USLU
NISANTASI UNIVERSITY,İSTANBUL,FOUNDATION,2009,PROF.DR. ŞENAY YALÇIN
NUH NACI YAZGAN UNIVERSITY,KAYSERİ,FOUNDATION,2009,PROF.DR. KERİM GÜNEY
ONDOKUZ MAYIS UNIVERSITY,SAMSUN,STATE,1975,PROF.DR. YAVUZ ÜNAL
ORDU UNIVERSITY,ORDU,STATE,2006,PROF.DR. ALİ AKDOĞAN
MIDDLE EAST TECHNICAL UNIVERSITY,ANKARA,STATE,1956,PROF.DR. MUSTAFA VERŞAN KÖK
OSMANIYE KORKUT ATA UNIVERSITY,OSMANİYE,STATE,2007,PROF.DR. TURGAY UZUN
OSTIM TECHNICAL UNIVERSITY,ANKARA,FOUNDATION,2017,PROF.DR. MURAT ALİ YÜLEK
OZYEGIN UNIVERSITY,İSTANBUL,FOUNDATION,2007,PROF.DR. FERİDE ESRA GENÇTÜRK
